Pair ID	Sentence 1	Sentence 2	FWD Ent	FWD Ent Agr	BCW Ent	BCW Ent Agr	Cont	Cont Agr	FWD Spec	FWD Spec Agr	BCW Spec	BCW Spec Agr	Sim	Sim Agr	PP	PP Agr
0	The country has no impact on girls' school education.	In order to understand the bible it is important to learn French.	0	1	0	1	0	1	0	0.9	0	0.6	0	0	0	1
2	Compared to boys, girls have a lower chance of getting a good school education in many countries.	Women are often disadvantaged regarding education.	1	1	1	0.7	0	1	1	0.9	0	1	3.4	1.2	1	0.9
4	All Christian priests need to study Persian, as the Bible is written in Ancient Greek.	Christian clergymen don't read the bible.	0	1	0	1	0	0.6	1	0.9	0	1	0.9	0.83	0	1
6	Clergymen never read the bible	Christian clergymen learn Greek to read the bible.	0	1	0	1	1	0.9	0	1	1	0.6	1.3	0.78	0	1
8	Strategic games can only be played by humans.	Strategic games are too difficult for computers.	0	0.5	1	0.7	0	1	0	0.5	0	1	3.3	1	0	0.5
10	Humans drink.	Self-driving cars can be compared to humans.	0	1	0	1	0	1	0	0.9	1	0.8	0.5	0.92	0	1
12	The Bible is not a sacred book to Christians.	The original Bible is in Latin.	0	1	0	1	0	1	0	0.5	0	0.9	0.6	0.8	0	1
14	It is always a plus to have learned to use modern technologies whatever job you do.	A job without technology is a bad job.	0	0.9	0	0.9	0	0.9	1	0.8	0	0.9	2.2	0.98	0	0.9
16	Life gets harder if information is available faster.	There are several modern virtual assistants.	0	1	0	1	0	0.9	0	0.6	0	0.6	0.6	1.28	0	1
18	Modern education has no use for technology.	Education does not benefit from new technology.	1	0.9	1	0.6	0	1	0	0.8	0	0.9	3.6	1.5	1	0.9
20	University students are likely to have a good salary after they graduate.	The job market is more competitive in big cities	0	1	0	1	0	1	1	0.7	0	1	0.67	0.82	0	1
22	Technology may be the most important part of education today.	Adding technology has improved modern education.	1	0.6	0	0.5	0	1	0	0.6	0	0.8	3.6	0.8	1	0.6
24	Computers can play games.	Strategy games are less about fun and more about logic.	0	1	0	1	0	1	0	1	1	0.8	1	1.18	0	1
26	Humans who drink are the safest ones.	Self-driving cars drink alcohol like humans.	0	0.9	0	0.9	0	1	0	1	0	0.7	0.8	0.98	0	1
28	new technologies are not required to get a good job	People who can't use modern technologies are less desirable employees.	0	1	0	1	1	0.7	0	1	1	0.8	1.27	0.86	0	1
